Date,Away,Away SP,Hand,Away SP Blast Contact% Allowed,Home Bat Blast Contact% vs SP Hand,Home,Home SP,Hand,Home SP Blast Contact% Allowed,Away Bat Blast Contact% vs SP Hand,Away R,Home R,Status
2026-05-01,Milwaukee Brewers,Jacob Misiorowski,R,0.0890,0.1528,Washington Nationals,Jake Irvin,R,0.1731,0.1540,6,1,In Progress
2026-05-01,San Francisco Giants,Robbie Ray,L,0.0847,0.1208,Tampa Bay Rays,Shane McClanahan,L,0.1129,0.1429,0,3,Final
2026-05-01,Los Angeles Dodgers,Emmet Sheehan,R,0.1692,0.1419,St. Louis Cardinals,Matthew Liberatore,L,0.1525,0.1306,1,4,In Progress
2026-05-01,Kansas City Royals,Cole Ragans,L,0.1385,0.1380,Seattle Mariners,Bryan Woo,R,0.1556,0.1518,0,0,Warmup
2026-05-01,Chicago White Sox,Noah Schultz,L,,0.1195,San Diego Padres,Germán Márquez,R,0.1961,0.1461,0,0,In Progress
2026-05-01,Cincinnati Reds,Brady Singer,R,0.2112,0.1308,Pittsburgh Pirates,Mitch Keller,R,0.1576,0.1484,0,4,In Progress
2026-05-01,Baltimore Orioles,Cade Povich,L,,0.1535,New York Yankees,Will Warren,R,0.1288,0.1663,2,7,In Progress
2026-05-01,Toronto Blue Jays,Patrick Corbin,L,0.2065,0.1377,Minnesota Twins,Simeon Woods Richardson,R,0.1667,0.1249,6,2,In Progress
2026-05-01,Philadelphia Phillies,Zack Wheeler,R,,0.1426,Miami Marlins,Eury Pérez,R,0.1618,0.1529,6,1,In Progress
2026-05-01,New York Mets,Christian Scott,R,,0.1198,Los Angeles Angels,Walbert Urena,R,,0.1530,0,0,In Progress
2026-05-01,Texas Rangers,MacKenzie Gore,L,0.1598,0.1445,Detroit Tigers,Jack Flaherty,R,0.1407,0.1524,5,4,In Progress
2026-05-01,Atlanta Braves,Grant Holmes,R,0.1776,0.1348,Colorado Rockies,Jose Quintana,L,0.1275,0.1538,1,6,In Progress
2026-05-01,Arizona Diamondbacks,Zac Gallen,R,0.1603,0.1300,Chicago Cubs,Colin Rea,R,0.1429,0.1249,5,6,Final
2026-05-01,Houston Astros,Mike Burrows,R,0.1350,0.1529,Boston Red Sox,Jake Bennett,L,,0.1355,1,3,Game Over
2026-05-01,Cleveland Guardians,Joey Cantillo,L,0.1429,0.1429,Athletics,J.T. Ginn,R,0.1228,0.1101,0,0,In Progress
